learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time,epochs,sampling_type
0.01,0.0001,True,16,6,Sigmoid,0.0365145206451416,0.0369462482631206,8192,0,100,sobol
0.01,1e-07,True,20,12,Sigmoid,0.0380125939846038,0.0394053682684898,8192,1,100,sobol
0.01,1e-05,True,20,6,Sigmoid,0.0436265170574188,0.0431167185306549,4096,0,100,sobol
0.01,0.0001,True,12,6,Sigmoid,0.0427860543131828,0.0441219173371791,2048,0,100,sobol
0.01,1e-06,True,20,6,Sigmoid,0.0445385016500949,0.0453641675412654,2048,0,100,sobol
0.01,0.0001,True,20,6,Sigmoid,0.0448834151029586,0.0455806925892829,4096,0,100,sobol
0.01,1e-06,True,16,6,Sigmoid,0.0446580424904823,0.0456905029714107,8192,0,100,sobol
0.01,1e-07,True,16,12,Sigmoid,0.0443085841834545,0.0465224757790565,2048,0,100,sobol
0.01,0.0001,True,20,6,Sigmoid,0.0450938753783702,0.0468953028321266,2048,0,100,sobol
0.01,1e-06,True,20,12,Sigmoid,0.0455494411289691,0.0475148558616638,2048,0,100,sobol
0.01,1e-06,True,20,6,Sigmoid,0.0452813617885112,0.047782190144062,1024,0,100,sobol
0.01,1e-07,True,20,6,Sigmoid,0.0436977222561836,0.047809112817049,1024,0,100,sobol
0.01,0.0001,True,12,12,Sigmoid,0.0451980754733085,0.0480725392699241,2048,0,100,sobol
0.01,0.0001,True,16,6,Sigmoid,0.0483842454850673,0.0484800040721893,2048,0,100,sobol
0.01,1e-07,True,20,6,Sigmoid,0.0477328076958656,0.0488207340240478,8192,0,100,sobol
0.01,1e-07,True,20,6,Sigmoid,0.0495902523398399,0.0502858459949493,2048,0,100,sobol
0.01,1e-06,True,20,6,Sigmoid,0.0492658093571662,0.0503080561757087,8192,0,100,sobol
0.01,1e-07,True,16,6,Sigmoid,0.0464112609624862,0.0503317005932331,1024,0,100,sobol
0.01,1e-05,True,20,6,Sigmoid,0.0472644791007041,0.050470195710659,1024,0,100,sobol
0.01,1e-06,True,16,12,Sigmoid,0.0496298037469387,0.0505301728844642,8192,1,100,sobol
0.01,1e-06,True,20,6,Sigmoid,0.0505296923220157,0.0519078224897384,4096,0,100,sobol
0.01,1e-05,True,20,6,Sigmoid,0.0408047996461391,0.0520746186375618,512,0,100,sobol
0.01,1e-05,True,16,12,Sigmoid,0.0515873655676841,0.0522993505001068,8192,0,100,sobol
0.01,0.0001,True,20,6,Sigmoid,0.0486688762903213,0.052400916814804,1024,0,100,sobol
0.01,1e-06,True,20,6,Sigmoid,0.0438053235411644,0.0524704158306121,512,0,100,sobol
0.01,0.0001,True,20,6,Sigmoid,0.0515788048505783,0.0525560416281223,8192,0,100,sobol
0.01,0.0001,True,20,6,Sigmoid,0.0465909130871295,0.0526996552944183,512,0,100,sobol
0.01,1e-07,True,16,6,Sigmoid,0.0525205507874488,0.0532775707542896,4096,0,100,sobol
0.01,1e-07,True,20,6,Sigmoid,0.0522698983550071,0.0534058734774589,4096,0,100,sobol
0.01,0.0001,True,12,12,Sigmoid,0.0515064634382724,0.0538772419095039,8192,0,100,sobol
0.01,1e-06,True,16,6,Sigmoid,0.0535519495606422,0.0547596663236618,4096,0,100,sobol
0.01,1e-07,True,16,6,Sigmoid,0.0549694262444973,0.055046372115612,8192,0,100,sobol
0.01,1e-06,True,16,6,Sigmoid,0.0535147935152053,0.0550968013703823,2048,0,100,sobol
0.01,0.0001,True,20,12,Sigmoid,0.0551518909633159,0.0556724667549133,2048,0,100,sobol
0.01,0.0001,True,16,6,Sigmoid,0.0519797056913375,0.0559970997273922,1024,0,100,sobol
0.01,0.0001,True,12,6,Sigmoid,0.0529097020626068,0.0561570934951305,1024,0,100,sobol
0.01,1e-05,True,20,6,Sigmoid,0.0549166612327098,0.0563289523124694,8192,0,100,sobol
0.01,1e-07,True,20,6,Sigmoid,0.0483762808144092,0.056367851793766,512,0,100,sobol
0.01,1e-06,True,12,12,Sigmoid,0.0547251068055629,0.0563956126570701,8192,0,100,sobol
0.01,0.0001,True,16,6,Sigmoid,0.0571549758315086,0.0565995126962661,4096,0,100,sobol
0.01,1e-05,True,20,6,Sigmoid,0.0555531159043312,0.0568044930696487,2048,0,100,sobol
0.01,1e-07,True,20,12,Sigmoid,0.0518115982413291,0.0568445958197116,1024,0,100,sobol
0.01,0.0001,True,8,6,Sigmoid,0.0553636103868484,0.0568602308630943,8192,0,100,sobol
0.01,1e-05,True,8,12,Sigmoid,0.0524407066404819,0.0570467039942741,1024,0,100,sobol
0.01,1e-07,True,16,6,Sigmoid,0.0563687346875667,0.05724873021245,2048,0,100,sobol
0.01,1e-06,True,16,6,Sigmoid,0.041456401348114,0.057426169514656,256,0,100,sobol
0.01,1e-05,True,12,6,Sigmoid,0.0560227669775486,0.0575953498482704,1024,0,100,sobol
0.01,1e-05,True,12,6,Sigmoid,0.0580428391695022,0.057879876345396,8192,0,100,sobol
0.01,1e-05,True,16,6,Sigmoid,0.0561905764043331,0.0580854415893554,2048,0,100,sobol
0.01,1e-06,True,16,6,Sigmoid,0.0543850660324096,0.0581961944699287,1024,0,100,sobol
0.01,0.0001,True,12,6,Sigmoid,0.0572116151452064,0.0585065260529518,8192,0,100,sobol
0.01,1e-06,True,12,6,Sigmoid,0.0585383139550685,0.0597012974321842,2048,0,100,sobol
0.01,1e-07,True,20,12,Sigmoid,0.057745486497879,0.0601617991924285,2048,0,100,sobol
0.01,0.0001,True,12,24,Sigmoid,0.0587007775902748,0.0602530017495155,4096,1,100,sobol
0.01,0.0001,True,20,6,Sigmoid,0.0365020148456096,0.0602694079279899,256,0,100,sobol
0.01,1e-06,True,16,12,Sigmoid,0.0591185688972473,0.0602817945182323,4096,0,100,sobol
0.01,1e-05,True,12,12,Sigmoid,0.0598976835608482,0.0606618821620941,8192,0,100,sobol
0.01,1e-05,True,16,6,Sigmoid,0.057978119701147,0.060905072838068,1024,0,100,sobol
0.01,1e-07,True,20,6,Sigmoid,0.040768027305603,0.0609414204955101,256,0,100,sobol
0.01,0.0001,True,16,12,Sigmoid,0.0609103180468082,0.0611972212791442,8192,0,100,sobol
0.01,1e-07,True,12,6,Sigmoid,0.0513860508799552,0.0614217221736907,512,0,100,sobol
0.01,1e-05,True,16,6,Sigmoid,0.0606294646859169,0.0615461692214012,8192,0,100,sobol
0.01,0.0001,True,16,12,Sigmoid,0.0540043041110038,0.0616483725607395,1024,0,100,sobol
0.01,0.0001,True,16,6,Sigmoid,0.0531613156199455,0.0622568950057029,512,0,100,sobol
