learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time
0.01,1e-05,True,20,24,Sigmoid,1.9659879207611084,2.092299699783325,256,0
0.01,1e-05,True,20,24,Sigmoid,2.8096976280212402,2.878213405609131,512,0
0.01,0.0001,True,20,12,Sigmoid,3.0459742546081543,3.0908279418945312,512,0
0.01,0.0001,True,20,12,Sigmoid,3.125308036804199,3.3657569885253906,128,0
0.01,1e-07,True,20,12,Sigmoid,3.2221977710723877,3.3795056343078613,256,0
0.01,1e-07,True,20,6,Sigmoid,3.441514015197754,3.5139594078063965,1024,0
0.01,1e-05,True,20,6,Sigmoid,3.27411150932312,3.636413335800171,128,0
0.01,1e-05,True,20,24,Sigmoid,3.7615854740142822,3.7287869453430176,1024,0
0.01,0.0001,True,20,6,Sigmoid,3.7151336669921875,3.741873264312744,1024,0
0.01,1e-07,True,20,24,Sigmoid,3.643569231033325,3.7448537349700928,128,0
0.01,1e-07,True,20,12,Sigmoid,3.670200824737549,3.759748935699463,512,0
0.01,1e-05,True,20,6,Sigmoid,3.7107672691345215,3.7795844078063965,1024,0
0.01,0.0001,True,20,24,Sigmoid,3.782496690750122,3.7932894229888916,512,0
0.01,1e-06,True,20,24,Sigmoid,3.8001022338867188,3.8184359073638916,1024,0
0.01,1e-05,True,20,24,Sigmoid,3.4537224769592285,3.8582186698913574,32,0
0.01,1e-05,True,20,12,Sigmoid,3.7665324211120605,3.884939432144165,512,0
0.01,1e-07,True,20,24,Sigmoid,3.829711437225342,3.885223388671875,256,0
0.01,0.0001,True,20,24,Sigmoid,3.9145963191986084,3.887051820755005,1024,0
0.01,1e-07,True,20,12,Sigmoid,3.846949338912964,3.9683077335357666,128,0
0.01,1e-06,True,20,6,Sigmoid,3.9747257232666016,4.006397247314453,512,0
0.01,1e-07,True,20,24,Sigmoid,3.978041172027588,4.02963924407959,512,0
0.01,1e-07,True,20,24,Sigmoid,4.03521728515625,4.067859172821045,1024,0
0.01,1e-06,True,20,24,Sigmoid,3.7032551765441895,4.070932388305664,32,0
0.01,1e-05,True,20,6,Sigmoid,2.6473937034606934,4.082248687744141,32,0
